sex,age,mother.education,father.education,parent.status,mother.job,father.job,guardian,travel.time.to.school,study.time,failures,internet.at.home,has.romantic.partner,family.relations,free.time,go.out.for.fun,alcohol.use,health,absences,academic.success
F,18,4,4,living.apart,at_home,teacher,mother,2,2,0,no,no,4,3,4,1,3,6,6
F,17,1,1,living.together,at_home,other,father,1,2,0,yes,no,5,3,3,1,3,4,6
F,15,1,1,living.together,at_home,other,mother,1,2,3,yes,no,4,3,2,3,3,10,10
F,15,4,2,living.together,health,services,mother,1,3,0,yes,yes,3,2,2,1,5,2,15
F,16,3,3,living.together,other,other,father,1,2,0,no,no,4,3,2,2,5,4,10
M,16,4,3,living.together,services,other,mother,1,2,0,yes,no,5,4,2,2,5,10,15
M,16,2,2,living.together,other,other,mother,1,2,0,yes,no,4,4,4,1,3,0,11
F,17,4,4,living.apart,other,teacher,mother,2,2,0,no,no,4,1,4,1,1,6,6
M,15,3,2,living.apart,services,other,mother,1,2,0,yes,no,4,2,2,1,1,0,19
M,15,3,4,living.together,other,other,mother,1,2,0,yes,no,5,5,1,1,5,0,15
F,15,4,4,living.together,teacher,health,mother,1,2,0,yes,no,3,3,3,2,2,0,9
F,15,2,1,living.together,services,other,father,3,3,0,yes,no,5,2,2,1,4,4,12
M,15,4,4,living.together,health,services,father,1,1,0,yes,no,4,3,3,3,5,2,14
M,15,4,3,living.together,teacher,other,mother,2,2,0,yes,no,5,4,3,2,3,2,11
M,15,2,2,living.apart,other,other,other,1,3,0,yes,yes,4,5,2,1,3,0,16
F,16,4,4,living.together,health,other,mother,1,1,0,yes,no,4,4,4,2,2,4,14
F,16,4,4,living.together,services,services,mother,1,3,0,yes,no,3,2,3,2,2,6,14
F,16,3,3,living.together,other,other,mother,3,2,0,no,no,5,3,2,1,4,4,10
M,17,3,2,living.together,services,services,mother,1,1,3,yes,no,5,5,5,4,5,16,5
M,16,4,3,living.together,health,other,father,1,1,0,yes,no,3,1,3,3,5,4,10
M,15,4,3,living.together,teacher,other,mother,1,2,0,yes,no,4,4,1,1,1,0,15
M,15,4,4,living.together,health,health,father,1,1,0,yes,no,5,4,2,1,5,0,15
M,16,4,2,living.together,teacher,other,mother,1,2,0,yes,no,4,5,1,3,5,2,16
M,16,2,2,living.together,other,other,mother,2,2,0,yes,no,5,4,4,4,5,0,12
F,15,2,4,living.together,services,health,mother,1,3,0,yes,no,4,3,2,1,5,2,8
F,16,2,2,living.together,services,services,mother,1,1,2,yes,no,1,2,2,3,5,14,8
M,15,2,2,living.together,other,other,mother,1,1,0,yes,no,4,2,2,2,5,2,11
M,15,4,2,living.together,health,services,mother,1,1,0,yes,no,2,2,4,4,1,4,15
M,16,3,4,living.apart,services,other,mother,1,2,0,yes,no,5,3,3,1,5,4,11
M,16,4,4,living.together,teacher,teacher,mother,1,2,0,yes,yes,4,4,5,5,5,16,11
M,15,4,4,living.together,health,services,mother,1,2,0,yes,no,5,4,2,4,5,0,12
M,15,4,4,living.together,services,services,mother,2,2,0,yes,no,4,3,1,1,5,0,17
