"Date","Rental.Count","Temperature.C.","Humidity.percent.","Wind.speed..m.s.","Visibility..10m.","Dew.point.temperature.C.","Solar.Radiation..MJ.m2.","Rainfall.mm.","Snowfall..cm.","Seasons","Holiday","Functioning.Day"
"01/01/2023",2014,2,54,1.7,1051,-6.3,1.73,0,0,"Winter","Holiday","Yes"
"02/01/2023",2338,-2.6,37,3.2,2000,-15.3,1.86,0,0,"Winter","No Holiday","Yes"
"03/01/2023",2532,-2.3,36,3,2000,-15.3,1.87,0,0,"Winter","No Holiday","Yes"
"04/01/2023",2788,1.5,41,3,2000,-10.3,1.75,0,0,"Winter","No Holiday","Yes"
"05/01/2023",2852,0.2,55,2.2,1890,-7.7,1.06,0,0,"Winter","No Holiday","Yes"
"06/01/2023",3190,3.1,54,1.6,1144,-5.3,1.66,0,0,"Winter","No Holiday","Yes"
"07/01/2023",2603,2.4,75,3.2,363,-1.5,0.52,0,0.5,"Winter","No Holiday","Yes"
"08/01/2023",2574,2.8,67,1.1,557,-2.7,1.64,0,0,"Winter","No Holiday","Yes"
"09/01/2023",3207,6.3,59,2.9,1005,-1.1,1.72,0,0,"Winter","No Holiday","Yes"
"10/01/2023",3439,4.5,49,1.1,1950,-5.3,1.84,0,0,"Winter","No Holiday","Yes"
"11/01/2023",3554,5.3,56,1.1,1194,-2.7,1.69,0,0,"Winter","No Holiday","Yes"
"12/01/2023",3722,8.1,38,2.3,1523,-5.3,1.71,0,0,"Winter","No Holiday","Yes"
"13/01/2023",1604,9,99,1.3,657,8.8,0.13,0.5,0,"Winter","No Holiday","Yes"
"14/01/2023",598,8,99,2.2,259,7.8,0.2,0.9,0,"Winter","No Holiday","Yes"
"15/01/2023",1047,0.1,96,2.4,937,-0.4,0.34,0.5,0.6,"Winter","No Holiday","Yes"
"16/01/2023",2603,-4,53,3.2,2000,-12.1,2,0,0,"Winter","No Holiday","Yes"
"17/01/2023",2748,-3.1,49,1.8,2000,-12.3,0.69,0,0,"Winter","No Holiday","Yes"
"18/01/2023",3174,0.1,48,2.8,2000,-9.6,1.96,0,0,"Winter","No Holiday","Yes"
"19/01/2023",3107,0.2,56,2.3,2000,-7.5,1.1,0,0,"Winter","No Holiday","Yes"
"20/01/2023",2463,-3.5,41,5.2,2000,-14.8,2.05,0,0,"Winter","No Holiday","Yes"
"21/01/2023",1824,-2.7,40,2.6,2000,-14.4,1.99,0,0,"Winter","Holiday","Yes"
"22/01/2023",1118,-0.6,76,2.8,2000,-4.3,0.6,0,0,"Winter","Holiday","Yes"
"23/01/2023",2027,3.9,64,3,1349,-2.3,1.74,0,0,"Winter","Holiday","Yes"
"24/01/2023",906,-14.4,41,4.8,2000,-24.7,2.11,0,0,"Winter","Holiday","Yes"
"25/01/2023",1589,-9.6,39,2.4,2000,-21,2.09,0,0,"Winter","No Holiday","Yes"
