"","Date","Rental.Count","Temperature.C.","Humidity.percent.","Wind.speed..m.s.","Visibility..10m.","Dew.point.temperature.C.","Solar.Radiation..MJ.m2.","Rainfall.mm.","Snowfall..cm.","Seasons","Holiday","Functioning.Day"
"1","01/12/2017",449,1.7,23,1.4,2000,-17.2,1.11,0,0,"Winter","No Holiday","Yes"
"2","02/12/2017",479,4.3,41,1.3,1666,-7.8,1.09,0,0,"Winter","No Holiday","Yes"
"3","03/12/2017",333,5.8,85,1.7,349,3.4,0.43,0,0,"Winter","No Holiday","Yes"
"4","04/12/2017",393,-0.3,38,4.8,1823,-12.9,1.11,0,0,"Winter","No Holiday","Yes"
"5","05/12/2017",321,-2.3,25,0,1962,-19.7,0,0,0,"Winter","No Holiday","Yes"
"6","06/12/2017",405,2.4,52,0.9,1224,-6.4,1.08,0,0,"Winter","No Holiday","Yes"
"7","07/12/2017",431,3.7,65,2.4,833,-2.2,0.98,0,0.3,"Winter","No Holiday","Yes"
"8","08/12/2017",355,-2,30,1.4,1728,-17.3,1.14,0,0,"Winter","No Holiday","Yes"
"9","09/12/2017",427,2.4,40,0.8,1809,-9.8,1.05,0,0,"Winter","No Holiday","Yes"
"10","10/12/2017",119,2.3,88,0.3,245,0.5,0.28,0,3.1,"Winter","No Holiday","Yes"
"11","11/12/2017",247,-5.2,33,4.6,1973,-19,1.26,0,0,"Winter","No Holiday","Yes"
"12","12/12/2017",228,-8.3,35,2.9,1967,-21,1.14,0,0,"Winter","No Holiday","Yes"
"13","13/12/2017",267,-6.5,30,2.9,1945,-21.2,1.17,0,0,"Winter","No Holiday","Yes"
"14","14/12/2017",278,-4.9,34,1.3,1768,-18.3,0.6,0,0,"Winter","No Holiday","Yes"
"15","15/12/2017",309,-2.5,43,0.7,895,-13.3,0.34,0,0,"Winter","No Holiday","Yes"
"16","16/12/2017",252,-4.1,28,3.8,1998,-19.9,1.08,0,0,"Winter","No Holiday","Yes"
"17","17/12/2017",216,-4.9,25,2.6,1966,-21.9,1.08,0,0,"Winter","No Holiday","Yes"
"18","18/12/2017",62,-1.8,83,1.2,351,-4.3,0.09,1.1,5.1,"Winter","No Holiday","Yes"
"19","19/12/2017",191,-2.5,31,2.6,1778,-17.3,1.08,0,2.3,"Winter","No Holiday","Yes"
"20","20/12/2017",209,-3.2,49,1.3,1723,-12.4,0.53,0,1.9,"Winter","No Holiday","Yes"
"21","21/12/2017",290,1.9,40,2,1835,-10.3,1.04,0,1.9,"Winter","No Holiday","Yes"
"22","22/12/2017",301,4.5,56,0.8,836,-3.5,0.71,0,0,"Winter","Holiday","Yes"
"23","23/12/2017",325,7,72,1.9,246,2.2,0.64,0,0,"Winter","No Holiday","Yes"
"24","24/12/2017",4,4.1,91,0.8,404,2.7,0.07,9.5,0,"Winter","Holiday","Yes"
"25","25/12/2017",221,-1.6,33,2.5,1874,-15.8,1.18,0,0,"Winter","Holiday","Yes"
"26","26/12/2017",262,-1.3,23,4,2000,-19.8,1.09,0,0,"Winter","No Holiday","Yes"
"27","27/12/2017",230,-5.5,21,2.1,1941,-24.4,1.08,0,0,"Winter","No Holiday","Yes"
"28","28/12/2017",286,-0.8,38,1,1686,-13.3,0.75,0,0,"Winter","No Holiday","Yes"
"29","29/12/2017",363,4.3,62,1.6,472,-2.3,0.52,0,0,"Winter","No Holiday","Yes"
"30","30/12/2017",274,3.2,64,0.8,258,-2.9,0.47,0,0,"Winter","No Holiday","Yes"
"31","31/12/2017",209,1.4,47,4.5,1388,-8.7,1.1,0,1,"Winter","Holiday","Yes"
"32","01/01/2018",225,1.5,20,2.8,1992,-19,1.03,0,0,"Winter","Holiday","Yes"
"33","02/01/2018",293,0.9,29,1.9,1761,-15.1,0.88,0,0,"Winter","No Holiday","Yes"
"34","03/01/2018",297,-3.4,32,3.1,1706,-17.7,1.02,0,0,"Winter","No Holiday","Yes"
"35","04/01/2018",290,-2.9,33,0.9,1813,-16.9,0.92,0,0,"Winter","No Holiday","Yes"
"36","05/01/2018",362,-0.3,45,2.2,1066,-10.8,1.01,0,0,"Winter","No Holiday","Yes"
"37","06/01/2018",283,0,35,2.3,1672,-13.6,1.07,0,0,"Winter","No Holiday","Yes"
"38","07/01/2018",278,1.1,34,0.9,1455,-13,0.6,0,0,"Winter","No Holiday","Yes"
"39","08/01/2018",356,2.7,33,2.7,1281,-12,0.6,0,0,"Winter","No Holiday","Yes"
"40","09/01/2018",262,-2.7,45,2.4,1707,-13,1.05,0,0.4,"Winter","No Holiday","Yes"
"41","10/01/2018",217,-5.6,44,4.5,1830,-15.9,1.1,0,0.5,"Winter","No Holiday","Yes"
"42","11/01/2018",187,-8.6,40,2.6,1700,-19.8,1.11,0,0,"Winter","No Holiday","Yes"
"43","12/01/2018",178,-9.6,27,2,1945,-25.1,1.17,0,0,"Winter","No Holiday","Yes"
"44","13/01/2018",174,-3.7,66,1.1,1140,-9.1,0.45,0.2,0.4,"Winter","No Holiday","Yes"
"45","14/01/2018",226,1.2,58,0.8,550,-6.1,0.74,0,0,"Winter","No Holiday","Yes"
"46","15/01/2018",311,6.2,64,1.9,549,-0.1,0.79,0,0,"Winter","No Holiday","Yes"
"47","16/01/2018",276,5.2,52,1.2,349,-3.8,0.45,0,0,"Winter","No Holiday","Yes"
"48","17/01/2018",310,8.1,51,1.4,367,-1.4,0.75,0,0,"Winter","No Holiday","Yes"
"49","18/01/2018",267,2.5,72,2.4,256,-2,0,0,0,"Winter","No Holiday","Yes"
"50","19/01/2018",341,4.3,28,1.5,1858,-12.6,0.98,0,0,"Winter","No Holiday","Yes"
"51","20/01/2018",325,5.3,55,2.6,904,-3,0.85,0,0,"Winter","No Holiday","Yes"
"52","21/01/2018",271,3.9,30,1.6,1085,-12.1,0.91,0,0,"Winter","No Holiday","Yes"
"53","22/01/2018",323,3.9,28,0.9,1383,-12.9,0.6,0,0,"Winter","No Holiday","Yes"
"54","23/01/2018",180,-11.3,27,3.7,1955,-26.6,1.18,0,1,"Winter","No Holiday","Yes"
"55","24/01/2018",121,-12.2,26,4,2000,-27.8,1.17,0,0.9,"Winter","No Holiday","Yes"
"56","25/01/2018",142,-12.8,25,3.2,1981,-28.7,1.16,0,0.6,"Winter","No Holiday","Yes"
"57","26/01/2018",111,-14.4,30,2.7,1906,-28.2,1.17,0,0.5,"Winter","No Holiday","Yes"
"58","27/01/2018",145,-7.7,32,2.5,1763,-21.5,1.13,0,0.3,"Winter","No Holiday","Yes"
"59","28/01/2018",189,-3.5,26,2.5,1756,-20.2,1.07,0,0,"Winter","No Holiday","Yes"
"60","29/01/2018",186,-7.3,23,3.8,1903,-24.9,1.17,0,0,"Winter","No Holiday","Yes"
"61","30/01/2018",253,-3.2,32,2.7,1900,-17.5,1.01,0,0,"Winter","No Holiday","Yes"
"62","31/01/2018",160,-1,35,2.7,1921,-14.5,0.64,0,3,"Winter","No Holiday","Yes"
"63","01/02/2018",240,-1.1,31,1.3,1869,-16.1,1.2,0,1.3,"Winter","No Holiday","Yes"
"64","02/02/2018",303,0.9,37,1.5,1283,-12.1,1.12,0,0,"Winter","No Holiday","Yes"
"65","03/02/2018",192,-6,38,3.4,1930,-18,2.04,0,0,"Winter","No Holiday","Yes"
"66","04/02/2018",165,-8.3,32,1.8,1295,-22.1,1.99,0,0,"Winter","No Holiday","Yes"
"67","05/02/2018",157,-7.8,28,4.1,2000,-23.1,2.12,0,0,"Winter","No Holiday","Yes"
"68","06/02/2018",172,-8.2,31,2.7,1858,-22.3,2.09,0,0,"Winter","No Holiday","Yes"
"69","07/02/2018",188,-6,24,2.6,1964,-23.3,1.97,0,0,"Winter","No Holiday","Yes"
"70","08/02/2018",253,-1.5,35,1.2,1551,-15,1.9,0,0,"Winter","No Holiday","Yes"
"71","09/02/2018",260,1.6,28,0.5,1193,-14.9,0.88,0,0,"Winter","No Holiday","Yes"
"72","10/02/2018",248,2.9,53,4.7,354,-5.7,1.37,0,0,"Winter","No Holiday","Yes"
"73","11/02/2018",174,-3.9,28,2.9,1921,-19.7,2.12,0,0,"Winter","No Holiday","Yes"
"74","12/02/2018",202,-4.6,32,4.2,1874,-18.8,1.43,0,0,"Winter","No Holiday","Yes"
"75","13/02/2018",281,1,41,3.3,1794,-10.8,2.11,0,0,"Winter","No Holiday","Yes"
"76","14/02/2018",312,6.9,67,3.9,986,1.1,0.42,0,0,"Winter","No Holiday","Yes"
"77","15/02/2018",174,1.7,20,3,1983,-18.9,2.28,0,0,"Winter","Holiday","Yes"
"78","16/02/2018",137,2.2,19,1.4,1946,-19.1,2.01,0,0,"Winter","Holiday","Yes"
"79","17/02/2018",183,-1.3,17,1.5,1998,-23.2,2.28,0,0,"Winter","Holiday","Yes"
"80","18/02/2018",263,2.2,17,1,1979,-20.4,1.75,0,0,"Winter","No Holiday","Yes"
"81","19/02/2018",361,4.7,43,2.1,1131,-6.8,1.38,0,0,"Winter","No Holiday","Yes"
"82","20/02/2018",356,4,23,3.5,1785,-15.3,2.03,0,0,"Winter","No Holiday","Yes"
"83","21/02/2018",351,2.2,17,2,1824,-20.4,1.99,0,0,"Winter","No Holiday","Yes"
"84","22/02/2018",352,4.8,47,2.6,1373,-5.5,1.72,0,0,"Winter","No Holiday","Yes"
"85","23/02/2018",283,5.3,70,0.9,226,0.2,1.73,0,1.7,"Winter","No Holiday","Yes"
"86","24/02/2018",363,4,37,1.4,763,-9.4,1.75,0,0,"Winter","No Holiday","Yes"
"87","25/02/2018",396,5.5,25,3.1,1652,-13,2.28,0,0,"Winter","No Holiday","Yes"
"88","26/02/2018",428,6.9,28,1.1,1301,-10.3,2.35,0,0,"Winter","No Holiday","Yes"
"89","27/02/2018",353,5.4,37,0.7,815,-8.1,0.43,0,0,"Winter","No Holiday","Yes"
"90","28/02/2018",305,7.6,48,2.6,600,-2.7,0.39,0,0,"Winter","No Holiday","Yes"
"91","01/03/2018",311,0.5,46,4.7,1172,-9.8,2.49,0,0,"Spring","Holiday","Yes"
"92","02/03/2018",388,1.8,26,2.2,1556,-15.7,2.61,0,0,"Spring","No Holiday","Yes"
"93","03/03/2018",605,10.7,16,1.7,1657,-14.1,2.56,0,0,"Spring","No Holiday","Yes"
"94","04/03/2018",358,10.7,85,0.9,393,8.2,0.52,0,0,"Spring","No Holiday","Yes"
"95","05/03/2018",438,7.6,58,2.4,2000,-0.1,1.85,0,0,"Spring","No Holiday","Yes"
"96","06/03/2018",504,8.5,34,1.9,1876,-6.4,2.55,0,0,"Spring","No Holiday","Yes"
"97","07/03/2018",550,9.6,39,1.8,1982,-3.7,2.09,0,0,"Spring","No Holiday","Yes"
"98","08/03/2018",375,5.6,72,3,1700,0.9,0.89,0,0,"Spring","No Holiday","Yes"
"99","09/03/2018",510,6.8,51,1,1617,-2.6,1.13,0,0,"Spring","No Holiday","Yes"
"100","10/03/2018",650,7.1,50,2.2,909,-2.6,2.47,0,0,"Spring","No Holiday","Yes"
"101","11/03/2018",666,9.2,40,2.6,592,-3.7,2.47,0,0,"Spring","No Holiday","Yes"
"102","12/03/2018",581,11.7,32,1.6,690,-4.4,1.99,0,0,"Spring","No Holiday","Yes"
"103","13/03/2018",626,15.5,47,3.3,1303,4.2,2.44,0,0,"Spring","No Holiday","Yes"
"104","14/03/2018",813,19.9,44,2.7,1874,7.2,2.22,0,0,"Spring","No Holiday","Yes"
"105","15/03/2018",204,13.3,97,2.9,771,12.8,0.19,2,0,"Spring","No Holiday","Yes"
"106","16/03/2018",705,9.4,40,2.6,1913,-3.5,2.78,0,0,"Spring","No Holiday","Yes"
"107","17/03/2018",933,10,38,1.5,1677,-3.6,2.51,0,0,"Spring","No Holiday","Yes"
"108","18/03/2018",751,9.8,46,1.2,710,-1.2,1.13,0,0,"Spring","No Holiday","Yes"
"109","19/03/2018",403,10.2,58,3.5,2000,2.2,0.32,0,0,"Spring","No Holiday","Yes"
"110","20/03/2018",522,9,33,3.1,1985,-6.4,2.59,0,0,"Spring","No Holiday","Yes"
"111","21/03/2018",333,4.8,51,2.2,1715,-4.5,1.12,0,0,"Spring","No Holiday","Yes"
"112","22/03/2018",668,8.3,36,2.5,1665,-5.9,2.7,0,0,"Spring","No Holiday","Yes"
"113","23/03/2018",690,9.3,37,2.3,940,-4.6,2.72,0,0,"Spring","No Holiday","Yes"
"114","24/03/2018",806,10.6,52,3.1,390,1.1,2.27,0,0,"Spring","No Holiday","Yes"
"115","25/03/2018",626,12.7,45,1.3,321,1,2.63,0,0,"Spring","No Holiday","Yes"
"116","26/03/2018",492,14.6,53,2.5,348,5.1,2.65,0,0,"Spring","No Holiday","Yes"
"117","27/03/2018",586,16.7,47,2.4,620,5.3,1.76,0,0,"Spring","No Holiday","Yes"
"118","28/03/2018",629,16.5,57,3.8,881,7.9,1.55,0,0,"Spring","No Holiday","Yes"
"119","29/03/2018",714,18.2,55,2.3,594,9,2.24,0,0,"Spring","No Holiday","Yes"
"120","30/03/2018",939,19.1,26,1.6,1704,-0.8,2.73,0,0,"Spring","No Holiday","Yes"
"121","31/03/2018",1072,18.2,38,4.2,1189,3.6,2.41,0,0,"Spring","No Holiday","Yes"
"122","01/04/2018",926,18,53,3.1,1350,8.2,1.53,0,0,"Spring","No Holiday","Yes"
"123","02/04/2018",818,20.8,50,2,1240,9.9,1.82,0,0,"Spring","No Holiday","Yes"
"124","03/04/2018",913,19.6,63,2.9,1034,12.3,0.68,0,0,"Spring","No Holiday","Yes"
"125","04/04/2018",928,15.3,54,2.1,1989,6,2.83,0,0,"Spring","No Holiday","Yes"
"126","05/04/2018",70,7.3,95,2.2,676,6.5,0.3,0.5,0,"Spring","No Holiday","Yes"
"127","06/04/2018",756,6.7,71,4.6,543,1.8,1.05,0,0,"Spring","No Holiday","Yes"
"128","07/04/2018",697,6,23,4.2,1990,-13.6,2,0,0,"Spring","No Holiday","Yes"
"129","08/04/2018",709,6.9,30,1.8,1994,-9.5,0.85,0,0,"Spring","No Holiday","Yes"
"130","09/04/2018",799,10.4,44,1.7,1235,-1.3,2.93,0,0,"Spring","No Holiday","Yes"
"131","10/04/2018",1023,20.5,37,4.6,1761,5.2,2.94,0,0,"Spring","No Holiday","Yes"
"132","11/04/2018",0,15.7,46,3.9,1132,4,3.05,0,0,"Spring","No Holiday","No"
"133","12/04/2018",969,17.5,20,4.6,2000,-5.7,3.07,0,0,"Spring","No Holiday","Yes"
"134","13/04/2018",1095,18.2,15,1.6,2000,-8.9,2.27,0,0,"Spring","No Holiday","Yes"
"135","14/04/2018",75,8.6,94,1.1,389,7.6,0.49,0,0,"Spring","No Holiday","Yes"
"136","15/04/2018",1105,12.5,53,3.4,1324,3.1,2.52,0,0,"Spring","No Holiday","Yes"
"137","16/04/2018",1052,15.5,33,2.5,1893,-0.7,3.1,0,0,"Spring","No Holiday","Yes"
"138","17/04/2018",1112,18,26,2.2,1459,-1.8,3.03,0,0,"Spring","No Holiday","Yes"
"139","18/04/2018",1047,16.5,17,3.3,1819,-8.6,3.13,0,0,"Spring","No Holiday","Yes"
"140","19/04/2018",919,17.8,21,2.7,1335,-4.8,2.79,0,0,"Spring","No Holiday","Yes"
"141","20/04/2018",1019,22.5,33,1.8,894,5.4,2.88,0,0,"Spring","No Holiday","Yes"
"142","21/04/2018",1130,24.3,14,3.3,1701,-4.9,3.19,0,0,"Spring","No Holiday","Yes"
"143","22/04/2018",631,18.9,44,0.9,1910,6.3,0.75,0,0,"Spring","No Holiday","Yes"
"144","23/04/2018",10,9,96,1.9,481,8.3,0.43,5.5,0,"Spring","No Holiday","Yes"
"145","24/04/2018",925,15.2,57,1.9,2000,6.7,1.33,0,0,"Spring","No Holiday","Yes"
"146","25/04/2018",1192,19.4,20,1.1,1663,-4.1,3.08,0,0,"Spring","No Holiday","Yes"
"147","26/04/2018",1197,19.6,36,2.2,962,4.1,2.55,0,0,"Spring","No Holiday","Yes"
"148","27/04/2018",1142,19.5,40,1.1,1055,5.5,2.89,0,0,"Spring","No Holiday","Yes"
"149","28/04/2018",1278,20.5,31,2.5,1485,2.7,3.18,0,0,"Spring","No Holiday","Yes"
"150","29/04/2018",1375,20.5,31,2.6,1299,2.7,2.79,0,0,"Spring","No Holiday","Yes"
"151","30/04/2018",1094,22.2,50,2,564,11.2,2.65,0,0,"Spring","No Holiday","Yes"
"152","01/05/2018",1315,22.1,67,2.7,462,15.6,0.81,0,0,"Spring","Holiday","Yes"
"153","02/05/2018",63,17.3,95,0.7,155,16.4,0.16,3.5,0,"Spring","No Holiday","Yes"
"154","03/05/2018",871,14.1,59,3.9,1870,6.1,1.12,0,0,"Spring","No Holiday","Yes"
"155","04/05/2018",1206,17.9,32,4.6,1874,0.9,3.28,0,0,"Spring","No Holiday","Yes"
"156","05/05/2018",1258,21.9,35,3.4,1586,5.7,2.74,0,0,"Spring","No Holiday","Yes"
"157","06/05/2018",71,15.7,96,1.1,568,15,0.5,3,0,"Spring","No Holiday","Yes"
"158","07/05/2018",1414,22.9,35,0.8,1948,6.6,3.05,0,0,"Spring","No Holiday","Yes"
"159","08/05/2018",1135,21.5,44,2.1,1986,8.7,3.15,0,0,"Spring","No Holiday","Yes"
"160","09/05/2018",1242,18.7,39,1.9,1925,4.4,3.21,0,0,"Spring","No Holiday","Yes"
"161","10/05/2018",0,19.8,49,2.3,1320,8.7,3.17,0,0,"Spring","No Holiday","No"
"162","11/05/2018",1161,20,47,1.4,685,8.3,3.08,0,0,"Spring","No Holiday","Yes"
"163","12/05/2018",11,12.3,97,0.8,238,11.8,0.14,2,0,"Spring","No Holiday","Yes"
"164","13/05/2018",1434,18.3,65,1.2,1489,11.5,2.4,0,0,"Spring","No Holiday","Yes"
"165","14/05/2018",1095,20,62,1.8,428,12.4,2.38,0,0,"Spring","No Holiday","Yes"
"166","15/05/2018",1058,26.3,36,1.1,1133,10,2.88,0,0,"Spring","No Holiday","Yes"
"167","16/05/2018",59,22.9,87,4,1497,20.6,0.22,0,0,"Spring","No Holiday","Yes"
"168","17/05/2018",467,21.7,96,0.8,1773,21,0.81,1.5,0,"Spring","No Holiday","Yes"
"169","18/05/2018",185,16.6,96,0.8,430,15.9,0.34,0,0,"Spring","No Holiday","Yes"
"170","19/05/2018",1573,20.5,42,2.1,2000,7.1,3.42,0,0,"Spring","No Holiday","Yes"
"171","20/05/2018",1313,18.8,31,1.2,2000,1.2,0.92,0,0,"Spring","No Holiday","Yes"
"172","21/05/2018",1373,21.8,31,2.1,2000,3.9,3.39,0,0,"Spring","No Holiday","Yes"
"173","22/05/2018",1798,22.9,51,1.1,1591,12.2,1.8,0,0,"Spring","Holiday","Yes"
"174","23/05/2018",1216,20.1,37,4,1910,4.9,3.44,0,0,"Spring","No Holiday","Yes"
"175","24/05/2018",1087,22.1,36,5.3,1696,6.3,3.2,0,0,"Spring","No Holiday","Yes"
"176","25/05/2018",1082,24.4,24,2.9,1811,2.5,3.28,0,0,"Spring","No Holiday","Yes"
"177","26/05/2018",1285,26.2,31,1.2,1161,7.7,3.18,0,0,"Spring","No Holiday","Yes"
"178","27/05/2018",1404,23.4,38,2.8,1756,8.2,1.87,0,0,"Spring","No Holiday","Yes"
"179","28/05/2018",1139,26.3,44,1.8,2000,13,3.24,0,0,"Spring","No Holiday","Yes"
"180","29/05/2018",1184,23.1,64,2.6,1250,15.9,1.35,0,0,"Spring","No Holiday","Yes"
"181","30/05/2018",1187,23.2,64,3,1305,16,2.08,0,0,"Spring","No Holiday","Yes"
"182","31/05/2018",1134,23.7,44,1.3,1624,10.7,3.2,0,0,"Spring","No Holiday","Yes"
"183","01/06/2018",1076,28.2,34,2.6,1867,10.8,3.26,0,0,"Summer","No Holiday","Yes"
"184","02/06/2018",1253,28.3,30,3,1675,9,3.29,0,0,"Summer","No Holiday","Yes"
"185","03/06/2018",1134,28.7,27,1.7,1843,7.8,3.29,0,0,"Summer","No Holiday","Yes"
"186","04/06/2018",1152,26.3,36,3.1,1377,10,2.61,0,0,"Summer","No Holiday","Yes"
"187","05/06/2018",1111,28.2,35,1.2,1411,11.2,3.23,0,0,"Summer","No Holiday","Yes"
"188","06/06/2018",1400,27.3,51,2.8,703,16.2,3.16,0,0,"Summer","Holiday","Yes"
"189","07/06/2018",1099,25,56,3,715,15.6,3.19,0,0,"Summer","No Holiday","Yes"
"190","08/06/2018",1256,23.1,56,1.6,1222,13.8,1.71,0,0,"Summer","No Holiday","Yes"
"191","09/06/2018",1462,28.2,42,1.4,1563,14,2.84,0,0,"Summer","No Holiday","Yes"
"192","10/06/2018",1442,23.2,50,2.2,1988,12.1,2.45,0,0,"Summer","No Holiday","Yes"
"193","11/06/2018",1204,23.2,52,1.2,2000,12.7,0.82,0,0,"Summer","No Holiday","Yes"
"194","12/06/2018",1202,24,51,1.8,2000,13.2,2.29,0,0,"Summer","No Holiday","Yes"
"195","13/06/2018",1747,24.5,56,2.3,1094,15.1,1.74,0,0,"Summer","No Holiday","Yes"
"196","14/06/2018",945,21.2,75,0.7,876,16.5,1.07,0,0,"Summer","No Holiday","Yes"
"197","15/06/2018",1193,24.4,50,1.6,2000,13.2,3.07,0,0,"Summer","No Holiday","Yes"
"198","16/06/2018",1525,24.8,43,1.2,1943,11.3,3.27,0,0,"Summer","No Holiday","Yes"
"199","17/06/2018",1422,24.8,56,0.9,530,15.4,1.57,0,0,"Summer","No Holiday","Yes"
"200","18/06/2018",988,28.4,45,2.2,649,15.3,2.92,0,0,"Summer","No Holiday","Yes"
"201","19/06/2018",1224,25.8,48,1.5,1487,13.9,2.31,0,0,"Summer","No Holiday","Yes"
"202","20/06/2018",1252,25.2,53,3.3,976,14.9,3.38,0,0,"Summer","No Holiday","Yes"
"203","21/06/2018",1197,26.4,46,1.4,1103,13.8,3.26,0,0,"Summer","No Holiday","Yes"
"204","22/06/2018",1116,29.8,28,1.3,1777,9.3,3.21,0,0,"Summer","No Holiday","Yes"
"205","23/06/2018",1374,28.4,31,2.7,1849,9.6,2.93,0,0,"Summer","No Holiday","Yes"
"206","24/06/2018",1042,28.9,40,2.3,809,13.9,3.15,0,0,"Summer","No Holiday","Yes"
"207","25/06/2018",1039,29.8,42,2.1,1220,15.5,2.9,0,0,"Summer","No Holiday","Yes"
"208","26/06/2018",10,20.5,97,1.8,257,20,0.15,5,0,"Summer","No Holiday","Yes"
"209","27/06/2018",1145,24.1,73,2.2,992,18.9,2.15,0,0,"Summer","No Holiday","Yes"
"210","28/06/2018",1158,27,68,2,1863,20.5,1.3,0,0,"Summer","No Holiday","Yes"
